company_id,company_name,affiliation_id,active
DCSYNPCOM001717,BDS - Bharati Vidyapeeth Dental College and Hospit,,Y
DCSYNPCOM001629,BDS - Chandra Dental College Hospital,,Y
DCSYNPCOM001662,BDS - Gitam Dental College Hospital,,Y
DCSYNPCOM001687,BDS - Sri Ramakrishna Dental College Hospital,,Y
DCSYNPCOM001012,Be Skin Hair Clinic,,Y
DCSYNPCOM001500,Being Dentist Maxillofacial and Dental Implants Cl,,Y
DCSYNPCOM001063,Bella Skin & Hair Clinic,,Y
DCSYNPCOM001529,Benchmark Dental Clinic,,Y
DCSYNPCOM001734,Bhardwaj Dental Clinic,,Y
DCSYNPCOM001401,Bhavane Dental Clinic,,Y
DCSYNPCOM001077,BHOJANI CLINIC,,Y
DCSYNPCOM001065,Bienaura Clinic,,Y
DCSYNPCOM000357,Billroth Hospital,,Y
DCSYNPCOM000037,Billroth Hospitals,,Y
DCSYNPCOM000742,BLK-Max Super Speciality Hospital,,Y
DCSYNPCOM001591,Blooming Smiles Dental Clinic,,Y
DCSYNPCOM000379,Bluebell Hospital,,Y
DCSYNPCOM000496,Bodyline Hospital,,Y
DCSYNPCOM000986,Bombay Hospital,,Y
DCSYNPCOM000982,Bombay Hospital Indore,,Y
DCSYNPCOM000401,Bombay Knee & Hip Clinic,,Y
DCSYNPCOM000465,Bose Clinic,,Y
DCSYNPCOM000287,Braces and Roots Clinica Dental,,Y
DCSYNPCOM000293,Brite Smiles Dental Clinic,,Y
DCSYNPCOM001501,Budding Smile Dental Clinic,,Y
DCSYNPCOM000276,Bukharia Skin and Mind Clinic,,Y
DCSYNPCOM001405,Butterfly Hospitals,,Y
DCSYNPCOM001614,Calgary Dental Clinic,,Y
DCSYNPCOM000096,Canes Cardio Neuro Clinic,,Y
DCSYNPCOM000266,Cardea Clinic,,Y
DCSYNPCOM000798,Cardi Care Clinic,,Y
DCSYNPCOM000807,Cardio Vision Heart Specialty Clinic,,Y
DCSYNPCOM000680,Care CHL Hospitals,,Y
DCSYNPCOM000713,Care For You Clinic,,Y
DCSYNPCOM000066,Care Hospital,,Y
DCSYNPCOM000071,CARE Hospitals,,Y
DCSYNPCOM000094,CARE Hospitals Outpatient Centre,,Y
DCSYNPCOM000298,"CARE Hospitals Outpatient Centre, Banjara Hills",,Y
DCSYNPCOM000073,CDR Hospital and Andhra Mahila Sabha,,Y
DCSYNPCOM000371,CFC Multispeciality Hospital,,Y
DCSYNPCOM000591,Chaitanya Clinic,,Y
